MISPAR_RECHEV,SUG_RECALL,SUG_TAKALA,TEUR_TAKALA,TAARICH_PTICHA
01027760,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2020-02-24
01027850,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01029850,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01029850,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01029850,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01030970,תקלה סידרתית בטיחותית,מנוע ומערכותיו,החלפת משאבת דלק,2015-01-15
01031260,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2020-05-07
01031350,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01031350,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-06-21
01031350,תקלה סידרתית בטיחותית,כריות אוויר,חשש שרכיב הניפוח של כרית האויר בצד נוסע שליד הנהג לא תיפתח באופן המתוכנן.,2017-01-29
01031750,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01032060,תקלה סידרתית בטיחותית,כריות אוויר,"חשש כי לחות שחדרה לתוך יחידת הניפוח של כרית האוויר בצד נהג, תפגום בפעולתה בעת הצורך ואף תגרום לשברי מת כת לעבור דרך כרית",2023-01-08
01033250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01033250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01033250,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01033250,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01035050,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01035050,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01035050,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01035050,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01035170,תקלה סידרתית בטיחותית,אחר,אפשרות לתקלה בבידוד של ווסת הטעינה לגוף הקירור שלו.,2016-02-21
01035250,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01035450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01035450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01035450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01035460,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01036250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01036250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01036250,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01036560,תקלה סידרתית בטיחותית,כריות אוויר,בדיקת סליל כרית האוויר של גלגל ההגה,2014-04-22
01036660,תקלה סידרתית בטיחותית,כריות אוויר,בדיקת סליל כרית האוויר של גלגל ההגה,2014-04-22
01036660,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01037920,קמפיין שרות טכני,מנוע ומערכותיו,החלפה של  זרוע פיטמן,2011-11-27
01039150,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01039660,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2020-05-07
01039750,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01039750,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01039750,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2019-10-22
01039870,תקלה סידרתית בטיחותית,מנוע ומערכותיו,החלפת משאבת דלק,2015-01-15
01040650,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01040650,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01040650,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01040650,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01041650,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01042920,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01042920,קמפיין שרות טכני,היגוי ומתלים,זרוע מיתלה קדמי,2011-11-27
01043620,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01043750,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01043750,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01043750,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01043750,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01043820,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01043950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01043950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01043950,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01044560,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01046250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01046250,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01046250,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01046250,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01046460,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01047650,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01047650,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01047650,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01047650,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01047660,תקלה סידרתית בטיחותית,כריות אוויר,"חשש כי לחות שחדרה לתוך יחידת הניפוח של כרית האוויר בצד נהג, תפגום בפעולתה בעת הצורך ואף תגרום לשברי מת כת לעבור דרך כרית",2023-01-08
01047660,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שבמקרים נדירים עלול להיווצר קצר פנימי ביחידת בקרת כריות האוויר.,2018-11-19
01047930,תקלה סידרתית בטיחותית,כריות אוויר,יחידת בקרת כריות אוויר,2012-06-13
01049660,תקלה סידרתית בטיחותית,כריות אוויר,"חשש כי לחות שחדרה לתוך יחידת הניפוח של כרית האוויר בצד נהג, תפגום בפעולתה בעת הצורך ואף תגרום לשברי מת כת לעבור דרך כרית",2023-01-08
01050160,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01050450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01051170,תקלה סידרתית בטיחותית,מנוע ומערכותיו,החלפת משאבת דלק,2015-01-15
01051520,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01051660,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2017-01-15
01053450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01053450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01053450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01054450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01054450,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01054450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2019-10-22
01054950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01054950,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01054950,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01054950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01055750,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01056650,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01058360,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01058860,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2020-02-24
01059650,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2019-10-22
01060950,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01060950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01060950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01061050,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01061050,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01061450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01061820,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01062050,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01062050,תקלה סידרתית בטיחותית,כריות אוויר,להחליף את רכיב הניפוח של כרית האוויר בצד הנוסע שליד הנהג,2014-06-23
01062050,תקלה סידרתית בטיחותית,כריות אוויר,חשש כי רכיב ניפוח  כרית האוויר של נוסע ליד נהג נפגם במהלך יצור או איחסון,2013-05-20
01062050,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2017-03-09
01062650,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01062850,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01065160,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנוסע הקדמי.,2016-01-26
01065560,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01065660,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01067020,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01067020,קמפיין שרות טכני,היגוי ומתלים,זרוע מיתלה קדמי,2011-11-27
01067260,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01067260,תקלה סידרתית בטיחותית,כריות אוויר,בדיקת סליל כרית האוויר של גלגל ההגה,2014-04-22
01068160,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01069060,תקלה סידרתית בטיחותית,כריות אוויר,בדיקת סליל כרית האוויר של גלגל ההגה,2014-04-22
01069060,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01070360,תקלה סידרתית בטיחותית,כריות אוויר,חשש לחדירת לחות לתוך יחידת הניפוח בכרית האויר של הנהג שעלול לפגום בפעולה בעת הצורך.,2016-01-25
01070360,תקלה סידרתית בטיחותית,כריות אוויר,בדיקת סליל כרית האוויר של גלגל ההגה,2014-04-22
01072250,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01072850,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01072850,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2019-10-22
01072950,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01072950,תקלה סידרתית בטיחותית,כריות אוויר,"בשל החשש ששינוי טמפרטורה קיצוניים לאורך זמן ממושך עלולים לפגוע בתקינות יחידת הניפוח של כרית אויר נהג וזו עלולה, בעת תאונ",2019-12-15
01073450,תקלה סידרתית בטיחותית,כריות אוויר,עקב החשש שיחידות ניפוח כריות האוויר נוסע שהוחלפו בעבר אינן כוללות סופח לחות החיוני לפעולתן התקינה לאורך זמן.,2018-12-03
01073520,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01073720,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01073820,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01074020,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01074120,קמפיין שרות טכני,מנוע ומערכותיו,בדיקת מיכל דלק,2011-11-27
01074120,קמפיין שרות טכני,היגוי ומתלים,זרוע מיתלה קדמי,2011-11-27
