RECALL_ID|TOZAR_CD|TOZAR_TEUR|DEGEM|SHNAT_RECALL|BUILD_BEGIN_A|BUILD_END_A|SUG_RECALL|SUG_TAKALA|TEUR_TAKALA|OFEN_TIKUN|TKINA_EU|YEVUAN_TEUR|TELEPHONE|WEBSITE
"11051"|"037"|"MAN"|"MAN"|"2011"|"2010-01-03"|"2010-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"קליפרי בלם"|"טיפול"|"M1"|"מכשירי תנועה ומשאיות"|"03-9639000,  252*"|"WWW.MAN.CO.IL"
"11056"|"058"|"YAMAHA"|"YAMAHA TW 200"|"2011"|"2000-01-02"|"2000-12-31"|"קמפיין שרות טכני"|"בלמים"|"מערכת בולם אחורי"|"החלפה"|"L1"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"11062"|"002"|"MAZDA"|"3"|"2011"|"2008-01-01"|"2009-03-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"כשל בפעולת מנוע מגבים קדמיים"|"החלפה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.MAZDA.CO.IL/RECALL.ASPX"
"1035"|"002"|"MAZDA"|"LANTIS"|"2001"|"1999-01-03"|"2000-12-31"|"קמפיין שרות טכני"|"בלמים"|"בדיקת צינורית במערכת הבלמים"|"בדיקה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.MAZDA.CO.IL/RECALL.ASPX"
"1138"|"023"|"FORD"|"FORD MONDEO"|"2001"|"2001-01-01"|"2001-12-31"|"קמפיין שרות טכני"|"מערכת העברת כוח"|"יחידת בקרת שיוט"|"בדיקה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"3338"|"023"|"FORD"|"FORD"|"2003"|"2003-01-01"|"2003-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"מתג אור אחורי"|"טיפול"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"8673"|"002"|"MAZDA"|"3"|"2008"|"2003-01-01"|"2006-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"צמת חוטים"|"בדיקה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.MAZDA.CO.IL/RECALL.ASPX"
"8692"|"023"|"FORD"|"ECONOLINE"|"2008"|"1997-01-01"|"2003-12-31"|"תקלה סידרתית בטיחותית"|"מערכת הבטיחות"|"בדיקת חיישן גל זיזים"|"החלפה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"8707"|"023"|"FORD"|"TRANSIT"|"2008"|"2005-01-02"|"2007-12-31"|"תקלה סידרתית בטיחותית"|"מערכת העברת כוח"|"מחבר אבטחה בין צינור לחץ גבוה למשאבת הגה כוח"|"החלפה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"8709"|"023"|"FORD"|"TRANSIT"|"2008"|"2003-01-01"|"2006-12-31"|"תקלה סידרתית בטיחותית"|"מערכת העברת כוח"|"חופש שבגל הסרן האחורי ברכב"|"בדיקה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.FORD.CO.IL"
"11066"|"013"|"CITROEN"|"C5"|"2011"|"2009-08-02"|"2010-09-30"|"תקלה סידרתית בטיחותית"|"אביזרים"|"החלפת מנוע מגב השמשה בצד הנהג"|"החלפה"|"M1"|"דוד לובינסקי בעמ"|"*3038"|"WWW.ONLINE.CITROEN.CO.IL/RECALL"
"11083"|"003"|"HONDA"|"ACCORD"|"2011"|"2009-08-02"|"2010-11-30"|"תקלה סידרתית בטיחותית"|"מערכת הבטיחות"|"בדיקת כרית האוויר"|"החלפה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"11088"|"040"|"NISSAN"|"QASHQAI,QASHQAI+2"|"2011"|"2010-08-27"|"2011-03-01"|"תקלה סידרתית בטיחותית"|"בלמים"|"בדיקת צינור בלם"|"בדיקה"|"M1"|"קרסו מוטורס בעמ"|"*6020"|"WWW.NISSAN.CO.IL"
"11092"|"011"|"CHEVROLET"|"CRUZE"|"2011"|"2011-01-02"|"2011-12-31"|"תקלה סידרתית בטיחותית"|"חגורות בטיחות"|"בדיקת המצאות אום לחגורת הבטיחות האמצעית"|"בדיקה"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"03-9534455"|"WWW.CHEVROLET.CO.IL"
"11098"|"053"|"SUBARU"|"B4,OUTBACK"|"2011"|"2010-01-03"|"2011-12-31"|"תקלה סידרתית בטיחותית"|"אביזרים"|"כיסוי מנוע מגבי השמשות הקדמיים שעלול להינזק  בעת העמסת משקל"|"החלפה"|"M1"|"יפנאוטו חברה ישראלית לרכב בעמ"|"*8545"|"WWW.SUBARU.CO.IL"
"10117"|"041"|"PEUGEOT"|"307,308"|"2010"|"2007-01-01"|"2008-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"עדכון תוכנת ניהול תאורה דרך העלול לגרום לתפקוד לקוי של המערכת בעת הפעלתה"|"עדכון תוכנה"|"M1"|"דוד לובינסקי בעמ"|"*3038"|"WWW.ONLINE.PEUGEOT.CO.IL/RECALL"
"11108"|"040"|"NISSAN"|"NAVARA"|"2011"|"2005-01-02"|"2008-12-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"בדיקת  חישוקי האלומיניום עלול להופיע סדק בג'אנט"|"בדיקה"|"M1"|"קרסו מוטורס בעמ"|"*6020"|"WWW.NISSAN.CO.IL"
"11109"|"027"|"ISUZU TRUCKS"|"NPR 75"|"2011"|"2010-01-03"|"2010-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"החלפת מדיד שמן"|"החלפה"|"M2"|"יוניברסל משאיות ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"9006"|"026"|"HYUNDAI"|"LANTRA"|"2009"|"2000-01-02"|"2002-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"שיפור וניתוב צמת חוטים"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"5466"|"026"|"HYUNDAI"|"H1"|"2005"|"2006-01-01"|"2006-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"בורג  גלגלת מנוע"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"4382"|"026"|"HYUNDAI"|"GETZ"|"2004"|"2005-01-02"|"2006-12-31"|"קמפיין שרות טכני"|"מערכת הבטיחות"|"יחידת  ABS"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"2326"|"026"|"HYUNDAI"|"H100"|"2002"|"2002-01-31"|"2002-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"הידוק מרכב צינור"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"2266"|"026"|"HYUNDAI"|"SONATA"|"2002"|"2002-01-01"|"2002-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"בדיקת כבל חשמל לכריות אוויר"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"2264"|"026"|"HYUNDAI"|"SONATA"|"2002"|"2002-01-01"|"2002-12-31"|"קמפיין שרות טכני"|"כריות אוויר"|"החלפת רגש במערכת כריות אוויר"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"3327"|"026"|"HYUNDAI"|"TRAJET"|"2003"|"2003-01-01"|"2003-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"חיישן חשמלי-מסנן דלק"|"בדיקה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"9121"|"026"|"HYUNDAI"|"SONATA"|"2009"|"2009-01-01"|"2009-12-31"|"קמפיין שרות טכני"|"בלמים"|"מתג אור בלם"|"החלפה"|"M1"|"כלמוביל יונדאי"|"*5606"|"WWW.HYUNDAIMOTORS.CO.IL"
"3"|"039"|"MITSUBISHI"|"PAJERO"|"2000"|"1994-01-02"|"1994-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"בדיקה צינור בלם"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"7"|"039"|"MITSUBISHI"|"GALANT"|"2000"|"1994-01-02"|"1996-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"בדיקת מיכל דלק"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"1036"|"039"|"MITSUBISHI"|"GALANT"|"2001"|"1993-01-03"|"1994-12-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"זרוע מיתלה קדמי"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"3348"|"039"|"MITSUBISHI"|"GALANT"|"2003"|"2004-01-04"|"2004-12-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"תקלה בחיבור כדורי של זרוע קדמית תחתונה"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"4361"|"039"|"MITSUBISHI"|"L400"|"2004"|"1994-08-01"|"2001-08-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"תקלה במשכך התנודות בסרן האחורי"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"4364"|"039"|"MITSUBISHI"|"L200,PAJERO"|"2004"|"2001-01-01"|"2004-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"החלפה של  זרוע פיטמן"|"החלפה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"4430"|"039"|"MITSUBISHI"|"L200"|"2004"|"2003-05-04"|"2004-06-30"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"בדיקת מנגנון אבטחה שלסגר מכסה מנוע"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"6574"|"039"|"MITSUBISHI"|"SPACE RUNNER,SPACE WAGON"|"2006"|"1992-01-01"|"1993-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"תקלה בצינור בלם קדמי שמאלי"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"7604"|"039"|"MITSUBISHI"|"L200"|"2007"|"2007-01-01"|"2007-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"חיישן איתור מים ב מסנן הסולר"|"בדיקה"|"N1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"7612"|"039"|"MITSUBISHI"|"PAJERO,PAJERO SPORT"|"2007"|"2000-01-02"|"2000-12-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"תקלה בזרוע פיטמן"|"החלפה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"8753"|"039"|"MITSUBISHI"|"L200"|"2008"|"2008-01-01"|"2008-12-31"|"קמפיין שרות טכני"|"היגוי ומתלים"|"תקלה בברגי הלולב המאגדים את הסרן והקפיצים האחוריים"|"בדיקה"|"N1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"8775"|"039"|"MITSUBISHI"|"PAJERO,L200"|"2008"|"2001-01-01"|"2002-12-31"|"קמפיין שרות טכני"|"בלמים"|"תקלה בצובר הלחץ במערכת הבלמים"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"9009"|"039"|"MITSUBISHI"|"OUTLANDER"|"2009"|"2007-01-01"|"2008-12-31"|"קמפיין שרות טכני"|"בלמים"|"מתג אור בלם"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"9010"|"039"|"MITSUBISHI"|"GRANDIS"|"2009"|"2004-01-01"|"2008-12-31"|"קמפיין שרות טכני"|"בלמים"|"מתג אור בלם ומגן חום במערכת פליטה"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"9078"|"039"|"MITSUBISHI"|"LANCER,OUTLANDER"|"2009"|"2008-01-01"|"2009-12-31"|"קמפיין שרות טכני"|"בלמים"|"תקלה בשסתום מגבר בלם"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"9081"|"039"|"MITSUBISHI"|"OUTLANDER"|"2009"|"2008-01-01"|"2009-12-31"|"קמפיין שרות טכני"|"בלמים"|"שסתום מגבר בלם"|"בדיקה"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"10089"|"039"|"MITSUBISHI"|"HUNTER,L200"|"2010"|"2009-01-01"|"2010-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"הידוק בורגי מפרק כדורי"|"הידוק"|"M1"|"כלמוביל מיצובישי"|"*3151"|"WWW.MITSUBISHI-ISRAEL.CO.IL"
"4379"|"003"|"HONDA"|"CIVIC"|"2004"|"2001-01-01"|"2002-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"החלפת מתג אורות"|"החלפה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"5465"|"003"|"HONDA"|"ACCORD"|"2005"|"2003-01-01"|"2004-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"בדיקת צמת חוטים בתא מטען"|"בדיקה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"6572"|"003"|"HONDA"|"CIVIC"|"2006"|"2006-01-01"|"2006-12-31"|"תקלה סידרתית בטיחותית"|"היגוי ומתלים"|"בדיקת יחידת בקרה של ההגה"|"בדיקה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"9003"|"003"|"HONDA"|"JAZZ"|"2009"|"2004-01-01"|"2004-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"ידית בלם חניה"|"בדיקה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"10012"|"003"|"HONDA"|"ACCORD"|"2010"|"2001-01-01"|"2002-12-31"|"תקלה סידרתית בטיחותית"|"כריות אוויר"|"יחידת ניפוח כרית אוויר"|"בדיקה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"10093"|"003"|"HONDA"|"CIVIC"|"2010"|"2001-01-01"|"2001-12-31"|"תקלה סידרתית בטיחותית"|"כריות אוויר"|"יחידת ניפוח כרית אוויר בצד הנהג"|"בדיקה"|"M1"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"10134"|"003"|"HONDA"|"PCX 125"|"2010"|"2010-01-01"|"2010-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"החלפת מגש מצבר כתוצאה מליקוי בניקוז שעלול לפגוע בתפקוד"|"בדיקה"|"L3"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"4403"|"003"|"HONDA"|"SILVER WING"|"2004"|"2002-01-01"|"2004-12-31"|"קמפיין שרות טכני"|"אביזרים"|"החלפת מעמד אמצע"|"החלפה"|"L3"|"מאיר חברה למכוניות ומשאיות בע"|"*5789"|"WWW.MCT.CO.IL/RECALL"
"10066"|"009"|"BMW"|"F800GS,F650GS"|"2010"|"2010-01-03"|"2010-12-31"|"קמפיין שרות טכני"|"בלמים"|"החלפת שרשרת ההנעה שעלולה להתבלות ולהיקרע"|"החלפה"|"M1"|"דלק מוטורס בעמ"|"08-9139995"|"WWW.BMW.CO.IL/RECALL/INDEX.HTML"
"10116"|"013"|"CITROEN"|"C3,JUMPY"|"2010"|"2006-01-01"|"2008-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"עדכון תוכנת ניהול תאורה"|"עדכון תוכנה"|"M1"|"דוד לובינסקי בעמ"|"*3038"|"WWW.ONLINE.CITROEN.CO.IL/RECALL"
"7602"|"001"|"TOYOTA"|"YARIS VERSO,YARIS"|"2007"|"2001-01-01"|"2001-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"גל ארכובה"|"בדיקה"|"M1"|"יוניון מוטורס בעמ"|"1-800-22-1514"|"WWW.TOYOTA.CO.IL/SERVICE-AND-ACCESSORIES/RECALL"
"11127"|"097"|"SYM - SANYANG MOTORS"|"LF12W,LF18W"|"2011"|"2010-01-03"|"2011-12-31"|"תקלה סידרתית בטיחותית"|"חשמל אליקטרוניקה ומיזוג"|"החלפת פנס לוחית רישוי"|"החלפה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/RECALL"
"9597"|"027"|"ISUZU TRUCKS"|"NPR 75"|"2009"|"2001-01-01"|"2003-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"מערכת ABS"|"בדיקה"|"N1"|"יוניברסל משאיות ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"8738"|"027"|"ISUZU TRUCKS"|"NPR 75"|"2008"|"2007-01-01"|"2007-12-31"|"תקלה סידרתית בטיחותית"|"בלמים"|"חשש לנזילת סולר בחיבורים של צינור המקושר למשאבת לחץ גבוהה"|"בדיקה"|"N1"|"יוניברסל משאיות ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"9015"|"027"|"ISUZU TRUCKS"|"NPR 75"|"2009"|"2008-01-01"|"2008-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"גל ההנעה"|"בדיקה"|"N1"|"יוניברסל משאיות ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"10130"|"027"|"ISUZU TRUCKS"|"NPR 75,NPR 85"|"2010"|"2009-01-01"|"2010-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"צמת צופר"|"בדיקה"|"N1"|"יוניברסל משאיות ישראל בעמ"|"*884"|"WWW.UTI.CO.IL/CALLBACK-SERVICE"
"5431"|"058"|"YAMAHA"|"XVS"|"2005"|"1994-01-02"|"1999-12-31"|"קמפיין שרות טכני"|"מרכב ושילדה"|"החלפת בורג תפס מושב נוסע"|"החלפה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"6573"|"058"|"YAMAHA"|"MT-01,XT,TDM,FJR,YZ"|"2006"|"2006-01-01"|"2007-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"החלפת חיישן מצב במצערת"|"החלפה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"7613"|"058"|"YAMAHA"|"X-MAX"|"2007"|"2007-01-01"|"2007-12-31"|"תקלה סידרתית בטיחותית"|"מרכב ושילדה"|"הרכבת קיט חיזוק שילדה"|"בדיקה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"7646"|"058"|"YAMAHA"|"XP500,YP400"|"2007"|"2006-01-01"|"2007-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"סדק בגומיית אטימה של משאבת דלק"|"בדיקה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"8764"|"058"|"YAMAHA"|"SLIDER"|"2008"|"2008-01-01"|"2008-12-31"|"קמפיין שרות טכני"|"בלמים"|"התקנת תושבת צינור בלם קדמי"|"בדיקה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"9131"|"058"|"YAMAHA"|"X-MAX,YP 250R"|"2009"|"2006-01-01"|"2009-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"כשל מחבר סלילים"|"בדיקה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"10018"|"052"|"SSANGYONG"|"ORBIT"|"2010"|"2009-01-01"|"2010-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"קפיץ מצערת מאייד שבור"|"בדיקה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"1-800-800-484"|"WWW.SSANGYONG.CO.IL"
"11128"|"058"|"YAMAHA"|"YZF-R125"|"2011"|"2010-01-01"|"2011-12-31"|"קמפיין שרות טכני"|"חשמל אליקטרוניקה ומיזוג"|"החלפת מתג מעמד צד"|"החלפה"|"L3"|"מטרו מוטור שווק )1891( בעמ"|"*9697"|"WWW.METRO.CO.IL/LOCATIONS?TYPE=SERVICE"
"8694"|"043"|"POLARIS"|"OUTLAW"|"2008"|"2006-01-01"|"2007-12-31"|"קמפיין שרות טכני"|"מנוע ומערכותיו"|"צלחת גלגל שיניים"|"טיפול"|"T2"|"דוד לובינסקי בעמ"|"*2171"|"WWW.MOTOSPORT.CO.IL/MOTO-SPORT-RECALL"
"1086"|"067"|"OPEL"|"CORSA,TIGRA"|"2001"|"1993-01-03"|"2000-12-31"|"קמפיין שרות טכני"|"מערכת הבטיחות"|"התקנת לוחית חיזוק חגורות הבטיחות"|"בדיקה"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"*9190"|"WWW.OPEL.CO.IL/RECALL"
"1087"|"067"|"OPEL"|"CORSA,TIGRA"|"2001"|"1999-01-03"|"2000-12-31"|"תקלה סידרתית בטיחותית"|"מערכת הבטיחות"|"אבזם לחגורות בטיחות"|"החלפה"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"*9190"|"WWW.OPEL.CO.IL/RECALL"
"2237"|"011"|"CHEVROLET"|"CAVALIER"|"2002"|"1995-01-01"|"1997-12-31"|"תקלה סידרתית בטיחותית"|"מנוע ומערכותיו"|"התקנת ערכה צמת חוטים למתג ההתנעה"|"התקנת אביזר"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"03-9534455"|"WWW.CHEVROLET.CO.IL"
"3304"|"011"|"CHEVROLET"|"CAVALIER"|"2003"|"1996-01-01"|"1998-12-31"|"תקלה סידרתית בטיחותית"|"היגוי ומתלים"|"החלפת מיסב לסבבת תחתונה במסרק הגה כוח"|"החלפה"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"03-9534455"|"WWW.CHEVROLET.CO.IL"
"4376"|"011"|"CHEVROLET"|"MALIBU"|"2004"|"1997-01-01"|"1998-12-31"|"תקלה סידרתית בטיחותית"|"היגוי ומתלים"|"מיסב לסבבת תחתונה במסרק הגה כוח"|"החלפה"|"M1"|"יוניברסל מוטורס ישראל בעמ"|"03-9534455"|"WWW.CHEVROLET.CO.IL"
